time,T_core0,T_core1,T_core2,IPC_core0,IPC_core1,IPC_core2,F_core0,F_core1,F_core2,P_core0,P_core1,P_core2,Energy_Per_Instruction_core0,Energy_Per_Instruction_core1,Energy_Per_Instruction_core2,Cdyn_core0,Cdyn_core1,Cdyn_core2
61125218519998,40.00692319469163,40.00529634686723,40.00375637267326,2.1484077763785145,2.069355461907195,2.083270478243097,1.0,1.0,1.0,1.127225753607259,1.149590871704781,1.152686972059059,1.9070869633214908e-10,1.8975576003427972e-10,1.5476571745277626e-10,1.1585306778276544e-09,1.1698018106130267e-09,1.1425422402103592e-09
61127236771999,40.02086431636218,40.0149268462904,40.008712393345505,1.7932236454618244,1.6729441311885296,1.805436554758905,1.0,1.0,1.0,0.8633888820562117,0.7946556901621811,0.7670403792249738,4.966953605065334e-10,5.203849495580457e-10,5.485257422276311e-10,1.0966373353389675e-09,1.0078815635593033e-09,9.72222272101882e-10
61129236989000,40.02722939841106,40.01888405444473,40.01020473450837,1.7441651016549133,1.7989708745940212,1.4687557750721052,1.0,1.0,1.0,0.8618396549947104,0.8742361646861555,0.6593898928461446,5.114773752368384e-10,5.133666079720507e-10,5.981286943867397e-10,1.09463578427554e-09,1.1106449846781645e-09,8.332105635152255e-10
61131241345000,40.03412678103278,40.02235426751356,40.012866181922064,1.8219372646385779,1.649861046450454,1.763298670391933,1.0,1.0,1.0,0.9087887603068826,0.7535512243425688,0.8439570485636796,5.112197860273809e-10,5.010856614149741e-10,5.017212622813246e-10,1.1552611276578365e-09,9.548012830763661e-10,1.0715458309448451e-09
61133254109999,40.04167134107564,40.024943696233514,40.0192670721156,1.9048919099835833,1.5475575649608688,1.847041545334715,1.0,1.0,1.0,0.8771530120872717,0.6892706882732246,0.8761844117499636,4.695671446132097e-10,5.17388510576681e-10,4.884925832405722e-10,1.11440799317947e-09,8.717939859979945e-10,1.1131607390377988e-09
61135278486999,40.04774790111794,40.02679036641762,40.02440138427746,1.5819734833375583,1.4882289558226613,0.801787172551623,1.0,1.0,1.0,0.7243861321344262,0.6356509932288145,0.4182841874416928,5.514704285266603e-09,5.245211944326211e-10,5.575008650553625e-10,9.171357564860935e-10,8.025533873037288e-10,5.218631564902327e-10
61137280511000,40.05242272903959,40.028918894177785,40.02967373653534,1.8267436721633756,1.7742006468549045,1.9091678502656828,1.0,1.0,1.0,0.8102423209096481,0.754523307690804,0.8899924628526419,4.668158358620644e-10,4.851841115767141e-10,4.818830200425271e-10,1.0280030330808007e-09,9.560555244589533e-10,1.1309897487251827e-09
61139290553249,40.05727081009512,40.031348289299856,40.03705648370087,1.3343159784177892,1.7546037172602091,1.7816177919228613,2.5,1.0,1.0,0.7334726200622894,0.7465351118920974,0.8742446688996374,5.881292107941296e-10,4.799245142940874e-10,5.058870535458526e-10,8.252478350458984e-10,9.457398071288479e-10,1.1106531109634819e-09
61141292782750,40.119988555991085,40.07429798494075,40.0873751919425,2.145344703669214,1.909371831120074,2.1006870471538384,4.0,4.0,4.0,6.747903041690863,6.844146239402022,6.707204134757573,7.890989237724921e-10,1.2617791127321384e-08,8.060626618128296e-10,1.1550908151730751e-09,1.1718010269676937e-09,1.1480259775855918e-09
61143294157250,40.19797012774518,40.11923470738153,40.145763203311574,1.144545373998157,1.0417774904288297,0.5908666429964985,4.0,4.0,4.0,3.766006853932495,3.3716049235882726,1.986346739095264,8.668698734386215e-08,6.951461478677136e-08,1.5540190659882676e-07,6.373982384843155e-10,5.689279701796836e-10,3.2843098679339397e-10
61145294319250,40.21859909116576,40.12736556245077,40.15739330823566,0.7314153836945556,0.3929321342345903,0.1990919262095168,4.0,4.0,4.0,2.7771911284857227,1.282393975579529,0.8317924655623202,1.3388358011345768e-07,1.3714236415034387e-07,2.1211681860495937e-07,4.65728239746062e-10,2.0621750041962448e-10,1.2798719822181925e-10
61147295407250,40.27358663296393,40.13627470756487,40.1710511091631,1.6749906612341856,0.7023613182773243,0.5650916311616295,4.0,4.0,4.0,6.267437553343669,2.3138569197547882,2.062263380303419,4.830147604973837e-08,1.2838577159569822e-07,1.8998638783095123e-07,1.0716721920690138e-09,3.852906692325365e-10,3.4161022419783115e-10
61149297546750,40.33936868065041,40.150198545491996,40.19292376991194,0.9297684482920354,1.5903019535400955,0.5862907255321037,4.0,4.0,4.0,3.1990799191629775,5.03596916984657,2.196967594839432,1.4061635693323535e-07,4.82225930123912e-08,1.6041175182041157e-07,5.38969281882611e-10,8.578791978886456e-10,3.6499573577130576e-10
